"point1","100MEDIA/DJI_0558.JPG",3111,446
"point1","100MEDIA/DJI_0562.JPG",3046,1206
"point1","100MEDIA/DJI_0566.JPG",2969,2057
"point1","100MEDIA/DJI_0824.JPG",2149,303
"point1","100MEDIA/DJI_0828.JPG",1953,1087
"point1","100MEDIA/DJI_0832.JPG",1726,1924
"point1","100MEDIA/DJI_0836.JPG",1513,2796
"point1","101MEDIA/DJI_0103.JPG",466,1946
"point2","100MEDIA/DJI_0073.JPG",3678,891
"point2","100MEDIA/DJI_0077.JPG",3856,2082
"point2","100MEDIA/DJI_0263.JPG",2711,716
"point2","100MEDIA/DJI_0267.JPG",2751,1626
"point2","100MEDIA/DJI_0271.JPG",2727,2499
"point2","100MEDIA/DJI_0506.JPG",1465,1036
"point2","100MEDIA/DJI_0510.JPG",1515,1965
"point2","100MEDIA/DJI_0514.JPG",1519,2882
"point3","103MEDIA/DJI_0039.JPG",3334,645
"point3","103MEDIA/DJI_0043.JPG",3287,1515
"point3","103MEDIA/DJI_0047.JPG",3254,2365
"point3","103MEDIA/DJI_0163.JPG",2093,442
"point3","103MEDIA/DJI_0167.JPG",2091,1351
"point3","103MEDIA/DJI_0171.JPG",2024,2244
"point3","103MEDIA/DJI_0175.JPG",1900,3159
"point4","102MEDIA/DJI_0084.JPG",4558,1284
"point4","102MEDIA/DJI_0309.JPG",3392,1279
"point4","102MEDIA/DJI_0313.JPG",3350,2149
"point4","102MEDIA/DJI_0317.JPG",3281,2967
"point4","102MEDIA/DJI_0523.JPG",2275,1997
"point4","102MEDIA/DJI_0527.JPG",2273,2801
"point4","102MEDIA/DJI_0718.JPG",1019,2096
"point5","100MEDIA/DJI_0105.JPG",4166,1794
"point5","100MEDIA/DJI_0295.JPG",3262,1050
"point5","100MEDIA/DJI_0299.JPG",3165,1960
"point5","100MEDIA/DJI_0303.JPG",3025,3046
"point5","100MEDIA/DJI_0538.JPG",2043,1306
"point5","100MEDIA/DJI_0542.JPG",1913,2201
"point5","100MEDIA/DJI_0546.JPG",1787,3128
"point5","100MEDIA/DJI_0808.JPG",666,1976
"point6","101MEDIA/DJI_0897.JPG",3633,1811
"point6","101MEDIA/DJI_0901.JPG",3604,2978
"point6","102MEDIA/DJI_0124.JPG",2729,642
"point6","102MEDIA/DJI_0128.JPG",2588,1452
"point6","102MEDIA/DJI_0132.JPG",2432,2307
"point6","102MEDIA/DJI_0136.JPG",2280,3242
"point6","102MEDIA/DJI_0357.JPG",1264,1873
"point7","100MEDIA/DJI_0800.JPG",4129,1908
"point7","101MEDIA/DJI_0067.JPG",3110,955
"point7","101MEDIA/DJI_0071.JPG",3006,1747
"point7","101MEDIA/DJI_0345.JPG",1973,804
"point7","101MEDIA/DJI_0349.JPG",1876,1587
"point7","101MEDIA/DJI_0353.JPG",1777,2378
"point7","101MEDIA/DJI_0629.JPG",783,1474
"point8","101MEDIA/DJI_0613.JPG",2952,1265
"point8","101MEDIA/DJI_0617.JPG",2848,2075
"point8","101MEDIA/DJI_0621.JPG",2713,2872
"point8","101MEDIA/DJI_0861.JPG",1840,609
"point8","101MEDIA/DJI_0865.JPG",1755,1414
"point8","101MEDIA/DJI_0869.JPG",1620,2420
"point8","101MEDIA/DJI_0873.JPG",1492,3247
"point8","102MEDIA/DJI_0104.JPG",505,2266
"point9","102MEDIA/DJI_0333.JPG",3124,1152
"point9","102MEDIA/DJI_0341.JPG",2856,2669
"point9","102MEDIA/DJI_0345.JPG",2705,3432
"point9","102MEDIA/DJI_0547.JPG",1926,1658
"point9","102MEDIA/DJI_0551.JPG",1815,2437
"point9","102MEDIA/DJI_0555.JPG",1664,3241
